id,Sucursal,internal_id,is_local,caja,cuser,out_of_time,Creación de orden,Proceso de orden,Entrega de orden,Orden cancelada,Hora deseada,Usuario,Estatus,Tipo de pago,total,stars,review,coupon,Sub tipo de pago,pc_id,status_id,Id cajero,crname,pay_id,Usuario subsidio/Meal plan,Nómina,ceco,Platillos,Ingredientes,description
73000000,Burritos & Tortas Campus,1,0,1,Diego,,19:53:00 15-02-2025,20:01:00 15-02-2025,20:18:00 15-02-2025,,,,Entregada,App,299.32,4,,,,2,4,5096,,3,,,,Taco al Pastor Estandar 4 $0.00,Piña $0.00,
73000001,Burritos & Tortas Campus,2,0,0,Miguel,,12:10:00 19-02-2025,12:13:00 19-02-2025,12:19:00 19-02-2025,,,,Entregada,Efectivo,250.09,4,,,,2,4,5035,,1,,,,Torta Cubana Estandar 1 $0.00,Jamón $0.00,
73000002,Burritos & Tortas Campus,3,0,0,Sofía,,12:55:00 07-02-2025,13:04:00 07-02-2025,13:14:00 07-02-2025,,,,Entregada,App,252.19,5,,,,3,4,5074,,3,,,,Burrito de Pollo Estandar 1 $0.00,Guacamole $0.00,
73000003,Burritos & Tortas Campus,4,0,0,Fernanda,,21:00:00 06-02-2025,21:09:00 06-02-2025,21:22:00 06-02-2025,,,,Entregada,Tarjeta,227.73,3,,,,2,4,5083,,3,,,,Torta Cubana Estandar 4 $0.00,Jamón $0.00,
73000004,Burritos & Tortas Campus,5,0,1,Miguel,,19:39:00 10-03-2025,19:49:00 10-03-2025,20:07:00 10-03-2025,,,,Entregada,Tarjeta,131.74,3,,,,1,4,5023,,3,,,,Torta Cubana Estandar 5 $0.00,Jamón $0.00,
73000005,Burritos & Tortas Campus,6,0,0,Sofía,,11:07:00 23-02-2025,11:11:00 23-02-2025,11:28:00 23-02-2025,,,,Entregada,Tarjeta,299.19,5,,,,4,4,5080,,2,,,,Burrito Norteño Estandar 3 $0.00,Frijoles $0.00,
73000006,Burritos & Tortas Campus,7,0,0,Diego,,16:58:00 11-03-2025,17:03:00 11-03-2025,17:10:00 11-03-2025,,,,Entregada,Efectivo,125.35,5,,,,1,4,5056,,2,,,,Taco de Bistec Estandar 5 $0.00,Cebolla $0.00,
73000007,Burritos & Tortas Campus,8,0,1,Fernanda,,20:13:00 07-02-2025,20:19:00 07-02-2025,20:25:00 07-02-2025,,,,Entregada,Efectivo,288.42,4,,,,2,4,5049,,2,,,,Taco al Pastor Estandar 4 $0.00,Piña $0.00,
73000008,Burritos & Tortas Campus,9,0,1,Miguel,,22:59:00 26-02-2025,23:08:00 26-02-2025,23:23:00 26-02-2025,,,,Entregada,Tarjeta,119.81,5,,,,3,4,5008,,1,,,,Burrito de Pollo Estandar 2 $0.00,Guacamole $0.00,
73000009,Burritos & Tortas Campus,10,0,0,Diego,,15:11:00 28-02-2025,15:17:00 28-02-2025,15:28:00 28-02-2025,,,,Entregada,Efectivo,121.02,4,,,,1,4,5001,,2,,,,Quesadilla Especial Estandar 5 $0.00,Queso Oaxaca $0.00,
73000010,Burritos & Tortas Campus,11,0,1,Sofía,,21:50:00 17-02-2025,21:57:00 17-02-2025,22:10:00 17-02-2025,,,,Entregada,Efectivo,219.7,3,,,,1,4,5028,,2,,,,Burrito de Pollo Estandar 2 $0.00,Guacamole $0.00,
73000011,Burritos & Tortas Campus,12,0,1,Diego,,21:37:00 28-02-2025,21:45:00 28-02-2025,21:54:00 28-02-2025,,,,Entregada,App,274.58,4,,,,1,4,5089,,1,,,,Taco de Bistec Estandar 5 $0.00,Cebolla $0.00,
73000012,Burritos & Tortas Campus,13,0,1,Diego,,18:36:00 07-02-2025,18:42:00 07-02-2025,18:48:00 07-02-2025,,,,Entregada,Tarjeta,87.63,4,,,,3,4,5047,,3,,,,Taco de Bistec Estandar 1 $0.00,Cebolla $0.00,
73000013,Burritos & Tortas Campus,14,0,1,Diego,,11:12:00 10-03-2025,11:21:00 10-03-2025,11:28:00 10-03-2025,,,,Entregada,App,178.69,4,,,,4,4,5050,,2,,,,Burrito Norteño Estandar 3 $0.00,Frijoles $0.00,
73000014,Burritos & Tortas Campus,15,0,1,Sofía,,20:25:00 24-02-2025,20:34:00 24-02-2025,20:52:00 24-02-2025,,,,Entregada,App,150.89,3,,,,4,4,5016,,1,,,,Torta Cubana Estandar 5 $0.00,Jamón $0.00,
73000015,Burritos & Tortas Campus,16,0,1,Miguel,,13:30:00 09-02-2025,13:36:00 09-02-2025,13:48:00 09-02-2025,,,,Entregada,Efectivo,102.32,3,,,,4,4,5086,,3,,,,Torta de Milanesa Estandar 3 $0.00,Aguacate $0.00,
73000016,Burritos & Tortas Campus,17,0,1,Fernanda,,14:24:00 08-03-2025,14:31:00 08-03-2025,14:47:00 08-03-2025,,,,Entregada,Tarjeta,264.52,4,,,,2,4,5085,,3,,,,Quesadilla Especial Estandar 1 $0.00,Queso Oaxaca $0.00,
73000017,Burritos & Tortas Campus,18,0,0,Fernanda,,15:30:00 22-02-2025,15:38:00 22-02-2025,15:47:00 22-02-2025,,,,Entregada,Tarjeta,292.36,5,,,,1,4,5024,,1,,,,Burrito Norteño Estandar 5 $0.00,Frijoles $0.00,
73000018,Burritos & Tortas Campus,19,0,1,Fernanda,,11:18:00 15-03-2025,11:28:00 15-03-2025,11:32:00 15-03-2025,,,,Entregada,Efectivo,130.29,5,,,,2,4,5050,,3,,,,Taco de Bistec Estandar 1 $0.00,Cebolla $0.00,
73000019,Burritos & Tortas Campus,20,0,1,Sofía,,11:56:00 23-03-2025,11:59:00 23-03-2025,12:14:00 23-03-2025,,,,Entregada,App,207.26,3,,,,3,4,5039,,3,,,,Taco de Bistec Estandar 1 $0.00,Cebolla $0.00,
73000020,Burritos & Tortas Campus,21,0,1,Miguel,,15:55:00 22-02-2025,16:05:00 22-02-2025,16:20:00 22-02-2025,,,,Entregada,App,238.02,3,,,,3,4,5071,,2,,,,Burrito Norteño Estandar 3 $0.00,Frijoles $0.00,
73000021,Burritos & Tortas Campus,22,0,1,Fernanda,,10:11:00 03-03-2025,10:14:00 03-03-2025,10:22:00 03-03-2025,,,,Entregada,App,165.27,3,,,,2,4,5076,,3,,,,Taco de Bistec Estandar 5 $0.00,Cebolla $0.00,
73000022,Burritos & Tortas Campus,23,0,1,Diego,,14:29:00 18-03-2025,14:33:00 18-03-2025,14:39:00 18-03-2025,,,,Entregada,App,284.64,4,,,,4,4,5094,,2,,,,Quesadilla Especial Estandar 1 $0.00,Queso Oaxaca $0.00,
73000023,Burritos & Tortas Campus,24,0,0,Diego,,10:33:00 11-03-2025,10:40:00 11-03-2025,10:46:00 11-03-2025,,,,Entregada,Tarjeta,247.32,4,,,,4,4,5029,,1,,,,Taco al Pastor Estandar 1 $0.00,Piña $0.00,
73000024,Burritos & Tortas Campus,25,0,1,Miguel,,13:29:00 11-02-2025,13:36:00 11-02-2025,13:46:00 11-02-2025,,,,Entregada,Tarjeta,267.25,5,,,,3,4,5034,,3,,,,Gringa Pastor Estandar 3 $0.00,Piña $0.00,
73000025,Burritos & Tortas Campus,26,0,0,Miguel,,19:40:00 09-03-2025,19:49:00 09-03-2025,20:06:00 09-03-2025,,,,Entregada,App,249.6,5,,,,1,4,5056,,2,,,,Burrito Norteño Estandar 2 $0.00,Frijoles $0.00,
73000026,Burritos & Tortas Campus,27,0,1,Sofía,,12:57:00 04-02-2025,13:00:00 04-02-2025,13:04:00 04-02-2025,,,,Entregada,Efectivo,202.89,4,,,,2,4,5090,,2,,,,Burrito Norteño Estandar 2 $0.00,Frijoles $0.00,
73000027,Burritos & Tortas Campus,28,0,1,Diego,,12:55:00 04-02-2025,12:59:00 04-02-2025,13:05:00 04-02-2025,,,,Entregada,Efectivo,201.51,5,,,,3,4,5018,,3,,,,Gringa Pastor Estandar 2 $0.00,Piña $0.00,
