"id","Sucursal","internal_id","is_local","caja","cuser","out_of_time","Creación de orden","Proceso de orden","Entrega de orden","Orden cancelada","Hora deseada","Usuario","Estatus","Tipo de pago","total","stars","review","coupon","Sub tipo de pago","pc_id","status_id","Id cajero","crname","pay_id","Usuario subsidio/Meal plan","Nómina","ceco","Platillos","Ingredientes","description"
49728788,"Davilas CCU","1",0,1,"Javier Escobedo",,"16:34:00 23-05-2023","16:35:29 23-05-2023","16:36:12 23-05-2023",,"2023-05-23 16:34:00","Caja Davilas UDEM","Entregada","Saldo ",92,,,"0.00",,,4,4086,,1,"  ",,,"ALITAS Estandar 1 $0.00","SALSA BBQ $0.00",""
49729011,"Davilas CCU","2",0,0,"Javier Escobedo",,"16:40:45 23-05-2023",,,"16:42:00 23-05-2023","2023-05-23 16:40:45",,"Cancelada","Saldo ",92,,,"0.00",,,5,,"Problemas de internet por parte del establecimiento",1,"  ",,,"ALITAS Estandar 1 $0.00","SALSA BÚFALO $0.00",""
49729198,"Davilas CCU","3",0,1,"Javier Escobedo",,"16:46:17 23-05-2023","16:46:30 23-05-2023","16:47:24 23-05-2023",,"2023-05-23 16:46:17","Caja Davilas UDEM","Entregada","Saldo ",92,,,"0.00",,,4,4086,,1,"  ",,,"ALITAS Estandar 1 $0.00","SALSA BÚFALO $0.00",""
49729388,"Davilas CCU","4",0,0,"Javier Escobedo",,"16:52:27 23-05-2023",,,"16:54:00 23-05-2023","2023-05-23 18:00:00",,"Cancelada","Saldo ",92,,,"0.00",,,5,,"Problemas de internet por parte del establecimiento",1,"  ",,,"ALITAS Estandar 1 $0.00","SALSA BÚFALO $0.00",""
49729448,"Davilas CCU","5",0,0,"Javier Escobedo",,"16:54:44 23-05-2023",,,"16:56:00 23-05-2023","2023-05-23 18:00:00",,"Cancelada","Saldo ",92,,,"0.00",,,5,,"Problemas de internet por parte del establecimiento",1,"  ",,,"ALITAS Estandar 1 $0.00","SALSA BÚFALO $0.00",""
49729538,"Davilas CCU","6",0,1,"Javier Escobedo",,"16:58:02 23-05-2023","16:58:15 23-05-2023","16:58:46 23-05-2023",,"2023-05-23 16:58:02","Caja Davilas UDEM","Entregada","Saldo ",92,,,"0.00",,,4,4086,,1,"  ",,,"ALITAS Estandar 1 $0.00","SALSA BBQ $0.00",""
49938417,"Davilas CCU","7",0,0,"LourdesCabral",,"12:20:50 31-05-2023",,,"12:22:00 31-05-2023","2023-05-31 12:20:50",,"Cancelada","Efectivo ",46,,,"0.00",,,5,,"Problemas de internet por parte del establecimiento",4,"  ",,,"ORDEN DE PAPAS Estandar 1 $0.00","SALSA BÚFALO $6.00","Pago al recoger ah "
49938580,"Davilas CCU","8",0,1,"VeronicaGómez",,"12:24:05 31-05-2023","12:25:07 31-05-2023","12:31:38 31-05-2023",,"2023-05-31 13:40:00","Caja Davilas UDEM","Entregada","Efectivo ",92,,,"0.00",,,4,4086,,4,"  ",,,"ORDEN TACOS DE CARNE ASADA Estandar 1 $0.00","MAIZ $0.00,CON QUESO $0.00",""
49940122,"Davilas CCU","9",0,0,"RebecaTorres",,"12:54:55 31-05-2023",,,"12:56:00 31-05-2023","2023-05-31 13:20:00",,"Cancelada","Efectivo ",105,,,"0.00",,,5,,"Problemas de internet por parte del establecimiento",4,"  ",,,"CHICKEN TENDERS Estandar 1 $0.00","SALSA BBQ $0.00","CHICKEN TENDERS Estandar: Salsa aparte y con salsa verde aparte tambin \n"
49940636,"Davilas CCU","10",0,0,"RebecaTorres",,"13:03:36 31-05-2023",,,"13:04:00 31-05-2023","2023-05-31 13:20:00",,"Cancelada","Efectivo ",105,,,"0.00",,,5,,"Problemas de internet por parte del establecimiento",4,"  ",,,"CHICKEN TENDERS Estandar 1 $0.00","SALSA BBQ $0.00",""
49940760,"Davilas CCU","11",0,1,"RebecaTorres",,"13:05:35 31-05-2023","13:05:47 31-05-2023","13:12:29 31-05-2023",,"2023-05-31 13:20:00","Caja Davilas UDEM","Entregada","Efectivo ",105,,,"0.00",,,4,4086,,4,"  ",,,"CHICKEN TENDERS Estandar 1 $0.00","SALSA BBQ $0.00","Salsa aparte y salsa verde "
50004177,"Davilas CCU","12",0,1,"Aurora",,"13:02:03 02-06-2023","13:02:59 02-06-2023","13:10:05 02-06-2023",,"2023-06-02 13:05:00","Caja Davilas UDEM","Entregada","Tarjeta Tarjeta Credito",94,,,"0.00","Tarjeta Credito",,4,4086,,2,"  ",,,"GRINGA Estandar 1 $0.00","CON QUESO $0.00","GRINGA Estandar: Con salsa a parte por favor\n"
50006351,"Davilas CCU","13",0,1,"VeronicaGómez",,"13:32:03 02-06-2023","13:34:07 02-06-2023","13:39:14 02-06-2023",,"2023-06-02 13:45:00","Caja Davilas UDEM","Entregada","Tarjeta Tarjeta Credito",92,,,"0.00","Tarjeta Credito",,4,4086,,2,"  ",,,"ORDEN TACOS DE CARNE ASADA Estandar 1 $0.00","MAIZ $0.00,CON QUESO $0.00","ORDEN TACOS DE CARNE ASADA Estandar: Favor de poner dos botes de salsa \n"
50109684,"Davilas CCU","14",0,0,"DavidAlejandroCuevasGarcía",,"10:31:11 06-06-2023",,,"10:42:00 06-06-2023","2023-06-06 13:00:00",,"Cancelada","Tarjeta ",92,,,"0.00",,,5,,"Problemas de internet por parte del establecimiento",2,"  ",,,"TORTA DE PIERNA Estandar 1 $0.00",,""
