id,Sucursal,internal_id,is_local,caja,cuser,out_of_time,Creación de orden,Proceso de orden,Entrega de orden,Orden cancelada,Hora deseada,Usuario,Estatus,Tipo de pago,total,stars,review,coupon,Sub tipo de pago,pc_id,status_id,Id cajero,crname,pay_id,Usuario subsidio/Meal plan,Nómina,ceco,Platillos,Ingredientes,description
70000000,Sushi Go UDEM,1,0,0,Carlos,,12:01:00 24-02-2025,12:07:00 24-02-2025,12:19:00 24-02-2025,,,,Entregada,Tarjeta,281.48,3,,,,1,4,4027,,1,,,,Dragon Roll Estandar 2 $0.00,Anguila $0.00,
70000001,Sushi Go UDEM,2,0,1,Andrea,,20:01:00 16-02-2025,20:11:00 16-02-2025,20:22:00 16-02-2025,,,,Entregada,Tarjeta,206.79,5,,,,4,4,4043,,2,,,,Salmón Roll Estandar 2 $0.00,Salmón fresco $0.00,
70000002,Sushi Go UDEM,3,0,1,Mariana,,14:48:00 24-01-2025,14:55:00 24-01-2025,15:03:00 24-01-2025,,,,Entregada,Tarjeta,115.15,5,,,,4,4,4068,,1,,,,Philadelphia Roll Estandar 4 $0.00,Queso crema $0.00,
70000003,Sushi Go UDEM,4,0,0,Mariana,,12:35:00 08-02-2025,12:41:00 08-02-2025,12:57:00 08-02-2025,,,,Entregada,Tarjeta,101.91,3,,,,1,4,4048,,2,,,,Dragon Roll Estandar 1 $0.00,Anguila $0.00,
70000004,Sushi Go UDEM,5,0,1,Andrea,,21:53:00 13-02-2025,22:00:00 13-02-2025,22:10:00 13-02-2025,,,,Entregada,App,144.47,5,,,,2,4,4068,,3,,,,Ebi Roll Estandar 3 $0.00,Camarón $0.00,
70000005,Sushi Go UDEM,6,0,0,Luis,,13:29:00 30-01-2025,13:37:00 30-01-2025,13:50:00 30-01-2025,,,,Entregada,Tarjeta,309.14,4,,,,4,4,4034,,1,,,,Dragon Roll Estandar 3 $0.00,Anguila $0.00,
70000006,Sushi Go UDEM,7,0,1,Luis,,20:56:00 28-01-2025,21:03:00 28-01-2025,21:14:00 28-01-2025,,,,Entregada,Efectivo,320.02,3,,,,2,4,4095,,3,,,,Atún Especial Estandar 4 $0.00,Atún spicy $0.00,
70000007,Sushi Go UDEM,8,0,0,Carlos,,15:47:00 18-02-2025,15:58:00 18-02-2025,16:16:00 18-02-2025,,,,Entregada,Tarjeta,147.02,3,,,,1,4,4019,,3,,,,Salmón Roll Estandar 3 $0.00,Salmón fresco $0.00,
70000008,Sushi Go UDEM,9,0,1,Mariana,,21:27:00 25-01-2025,21:38:00 25-01-2025,21:45:00 25-01-2025,,,,Entregada,App,244.93,3,,,,1,4,4087,,3,,,,Salmón Roll Estandar 4 $0.00,Salmón fresco $0.00,
70000009,Sushi Go UDEM,10,0,1,Luis,,21:21:00 01-02-2025,21:24:00 01-02-2025,21:38:00 01-02-2025,,,,Entregada,App,207.97,3,,,,3,4,4081,,3,,,,Salmón Roll Estandar 2 $0.00,Salmón fresco $0.00,
70000010,Sushi Go UDEM,11,0,0,Mariana,,14:09:00 22-02-2025,14:16:00 22-02-2025,14:26:00 22-02-2025,,,,Entregada,Efectivo,217.04,3,,,,1,4,4030,,3,,,,California Roll Estandar 3 $0.00,Aguacate $0.00,
70000011,Sushi Go UDEM,12,0,0,Mariana,,12:46:00 20-01-2025,12:55:00 20-01-2025,13:02:00 20-01-2025,,,,Entregada,App,261.54,5,,,,4,4,4027,,3,,,,Spicy Tuna Roll Estandar 2 $0.00,Salsa spicy $0.00,
70000012,Sushi Go UDEM,13,0,1,Andrea,,14:45:00 28-02-2025,14:51:00 28-02-2025,15:08:00 28-02-2025,,,,Entregada,Tarjeta,323.9,3,,,,1,4,4043,,1,,,,Ebi Roll Estandar 4 $0.00,Camarón $0.00,
70000013,Sushi Go UDEM,14,0,0,Luis,,19:14:00 21-02-2025,19:25:00 21-02-2025,19:37:00 21-02-2025,,,,Entregada,Tarjeta,274.04,3,,,,3,4,4009,,3,,,,California Roll Estandar 1 $0.00,Aguacate $0.00,
70000014,Sushi Go UDEM,15,0,1,Carlos,,15:42:00 30-01-2025,15:51:00 30-01-2025,16:02:00 30-01-2025,,,,Entregada,Tarjeta,153.18,3,,,,1,4,4084,,2,,,,Spicy Tuna Roll Estandar 4 $0.00,Salsa spicy $0.00,
70000015,Sushi Go UDEM,16,0,1,Andrea,,17:26:00 06-02-2025,17:35:00 06-02-2025,17:41:00 06-02-2025,,,,Entregada,Tarjeta,194.68,3,,,,2,4,4068,,2,,,,Philadelphia Roll Estandar 1 $0.00,Queso crema $0.00,
70000016,Sushi Go UDEM,17,0,0,Andrea,,17:11:00 23-01-2025,17:17:00 23-01-2025,17:36:00 23-01-2025,,,,Entregada,App,205.21,5,,,,1,4,4011,,1,,,,Dragon Roll Estandar 1 $0.00,Anguila $0.00,
70000017,Sushi Go UDEM,18,0,0,Carlos,,17:31:00 25-01-2025,17:40:00 25-01-2025,17:51:00 25-01-2025,,,,Entregada,Efectivo,132.81,4,,,,3,4,4054,,3,,,,Salmón Roll Estandar 1 $0.00,Salmón fresco $0.00,
70000018,Sushi Go UDEM,19,0,0,Andrea,,21:45:00 19-02-2025,21:54:00 19-02-2025,22:03:00 19-02-2025,,,,Entregada,App,146.6,4,,,,1,4,4006,,3,,,,Dragon Roll Estandar 3 $0.00,Anguila $0.00,
70000019,Sushi Go UDEM,20,0,0,Andrea,,19:58:00 14-02-2025,20:08:00 14-02-2025,20:18:00 14-02-2025,,,,Entregada,App,311.35,3,,,,4,4,4015,,3,,,,California Roll Estandar 1 $0.00,Aguacate $0.00,
70000020,Sushi Go UDEM,21,0,0,Mariana,,20:38:00 30-01-2025,20:40:00 30-01-2025,20:47:00 30-01-2025,,,,Entregada,Tarjeta,333.02,4,,,,4,4,4016,,3,,,,Salmón Roll Estandar 3 $0.00,Salmón fresco $0.00,
70000021,Sushi Go UDEM,22,0,0,Andrea,,15:29:00 25-02-2025,15:36:00 25-02-2025,15:43:00 25-02-2025,,,,Entregada,App,251.5,3,,,,3,4,4016,,2,,,,California Roll Estandar 4 $0.00,Aguacate $0.00,
70000022,Sushi Go UDEM,23,0,0,Mariana,,14:23:00 19-01-2025,14:29:00 19-01-2025,14:39:00 19-01-2025,,,,Entregada,App,249.04,3,,,,2,4,4033,,1,,,,Atún Especial Estandar 3 $0.00,Atún spicy $0.00,
70000023,Sushi Go UDEM,24,0,1,Carlos,,19:09:00 21-01-2025,19:15:00 21-01-2025,19:29:00 21-01-2025,,,,Entregada,Efectivo,142.94,3,,,,1,4,4081,,2,,,,Dragon Roll Estandar 3 $0.00,Anguila $0.00,
70000024,Sushi Go UDEM,25,0,1,Andrea,,11:00:00 01-02-2025,11:07:00 01-02-2025,11:16:00 01-02-2025,,,,Entregada,Tarjeta,282.72,3,,,,2,4,4069,,1,,,,Tempura Roll Estandar 2 $0.00,Camarón tempura $0.00,
70000025,Sushi Go UDEM,26,0,0,Mariana,,20:35:00 07-02-2025,20:39:00 07-02-2025,20:57:00 07-02-2025,,,,Entregada,Tarjeta,170.15,5,,,,2,4,4085,,1,,,,Spicy Tuna Roll Estandar 1 $0.00,Salsa spicy $0.00,
70000026,Sushi Go UDEM,27,0,0,Carlos,,19:56:00 06-02-2025,20:04:00 06-02-2025,20:13:00 06-02-2025,,,,Entregada,Tarjeta,343.81,3,,,,3,4,4100,,2,,,,Dragon Roll Estandar 2 $0.00,Anguila $0.00,
70000027,Sushi Go UDEM,28,0,0,Luis,,14:17:00 26-02-2025,14:21:00 26-02-2025,14:29:00 26-02-2025,,,,Entregada,Efectivo,313.23,4,,,,3,4,4029,,1,,,,Salmón Roll Estandar 1 $0.00,Salmón fresco $0.00,
70000028,Sushi Go UDEM,29,0,1,Mariana,,21:12:00 16-01-2025,21:20:00 16-01-2025,21:35:00 16-01-2025,,,,Entregada,App,341.39,5,,,,4,4,4086,,3,,,,Tempura Roll Estandar 1 $0.00,Camarón tempura $0.00,
70000029,Sushi Go UDEM,30,0,1,Mariana,,11:07:00 05-02-2025,11:13:00 05-02-2025,11:23:00 05-02-2025,,,,Entregada,App,118.18,4,,,,4,4,4077,,3,,,,Tempura Roll Estandar 1 $0.00,Camarón tempura $0.00,
70000030,Sushi Go UDEM,31,0,0,Luis,,17:57:00 22-01-2025,18:08:00 22-01-2025,18:19:00 22-01-2025,,,,Entregada,Efectivo,274.28,4,,,,1,4,4085,,2,,,,Tempura Roll Estandar 1 $0.00,Camarón tempura $0.00,
70000031,Sushi Go UDEM,32,0,1,Luis,,16:42:00 23-02-2025,16:45:00 23-02-2025,16:59:00 23-02-2025,,,,Entregada,Tarjeta,174.81,4,,,,4,4,4086,,3,,,,Tempura Roll Estandar 4 $0.00,Camarón tempura $0.00,
70000032,Sushi Go UDEM,33,0,1,Mariana,,20:36:00 26-01-2025,20:42:00 26-01-2025,20:59:00 26-01-2025,,,,Entregada,Efectivo,164.6,4,,,,4,4,4086,,1,,,,California Roll Estandar 3 $0.00,Aguacate $0.00,
70000033,Sushi Go UDEM,34,0,0,Mariana,,18:50:00 16-02-2025,18:54:00 16-02-2025,19:01:00 16-02-2025,,,,Entregada,Tarjeta,114.28,3,,,,2,4,4003,,1,,,,Tempura Roll Estandar 3 $0.00,Camarón tempura $0.00,
70000034,Sushi Go UDEM,35,0,1,Carlos,,18:39:00 30-01-2025,18:42:00 30-01-2025,19:01:00 30-01-2025,,,,Entregada,Efectivo,276.77,3,,,,2,4,4083,,3,,,,Salmón Roll Estandar 2 $0.00,Salmón fresco $0.00,
70000035,Sushi Go UDEM,36,0,0,Andrea,,12:49:00 15-01-2025,12:57:00 15-01-2025,13:09:00 15-01-2025,,,,Entregada,Efectivo,103.06,3,,,,4,4,4085,,3,,,,Spicy Tuna Roll Estandar 4 $0.00,Salsa spicy $0.00,
70000036,Sushi Go UDEM,37,0,1,Carlos,,20:20:00 19-02-2025,20:29:00 19-02-2025,20:47:00 19-02-2025,,,,Entregada,Efectivo,283.35,3,,,,3,4,4098,,3,,,,Atún Especial Estandar 2 $0.00,Atún spicy $0.00,
70000037,Sushi Go UDEM,38,0,1,Mariana,,21:15:00 15-02-2025,21:21:00 15-02-2025,21:40:00 15-02-2025,,,,Entregada,App,150.97,3,,,,2,4,4019,,1,,,,Philadelphia Roll Estandar 3 $0.00,Queso crema $0.00,
70000038,Sushi Go UDEM,39,0,1,Carlos,,13:45:00 08-02-2025,13:50:00 08-02-2025,13:57:00 08-02-2025,,,,Entregada,Tarjeta,176.03,3,,,,4,4,4049,,3,,,,Salmón Roll Estandar 4 $0.00,Salmón fresco $0.00,
70000039,Sushi Go UDEM,40,0,1,Carlos,,11:54:00 28-02-2025,12:05:00 28-02-2025,12:22:00 28-02-2025,,,,Entregada,Efectivo,335.11,5,,,,2,4,4062,,1,,,,Atún Especial Estandar 1 $0.00,Atún spicy $0.00,
